Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
Nikola Milenkovic,1,28,17,14,3,14,2,4,11,0,0,2,4,0,1,0,3,0,2,2,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Lubomir Tupta,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Giuseppe Rossi,0,6,4,3,2,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Gianfilippo Felicioli,1,4,4,3,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jean-Claude Billong,1,8,6,6,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mattia Bani,1,26,16,24,2,15,2,2,10,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
Guilherme Costa Marques,1,13,18,19,1,2,2,0,2,1,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,,,,,,,,,,,,,
Blerim Dzemaili,1,17,19,17,7,4,2,2,13,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,
Mehdi Pascal Marcel Leris,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Ahmed Benali,1,13,10,14,3,5,0,3,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,,,,,,,,,,,,
Thiago Rangel Cionek,1,28,20,18,1,18,2,3,5,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,,,,,,,,,,,,,
Sandro  Ranieri Guimaraes Cordeiro,1,32,15,26,3,4,4,4,8,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Leandro Castan da Silva,1,18,16,17,3,4,2,5,12,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Charalampos Lykogiannis,1,8,13,3,3,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jagos Vukovic,1,16,14,14,4,9,2,5,6,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,
Alex Meret,1,0,9,7,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Michele Rigione,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rafael Alcantara do Nascimento,0,15,8,16,1,7,10,4,18,1,0,5,1,0,3,2,1,0,0,0,0,1,0,0,0,0,2,5,1,,,,,,,,,,,,,
Pedro Miguel Almeida Lopes Pereira,0,4,2,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oscar Hiljemark,1,15,19,25,8,6,2,5,11,0,0,0,0,2,0,3,3,0,0,0,0,1,0,0,0,0,1,2,0,,,,,,,,,,,,,
Iuri Jose  Picanco Medeiros,0,6,12,3,3,2,0,0,3,0,0,4,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,2,,,,,,,,,,,,,
Francesco Zampano,0,2,5,8,1,5,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Mauricio Lemos Merladet,1,32,26,26,4,20,12,3,18,3,0,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
Musa Barrow,1,2,5,3,1,1,2,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,4,,,,,,,,,,,,,
Bacary Sagna,1,23,11,28,3,6,4,5,2,3,2,5,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,,,,,,,,,,,,,
Lisandro Ezequiel Lopez,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Felipe Nicolas Avenatti Dovillabichus,1,3,2,2,2,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Rogerio Oliveira da Silva,0,15,26,11,2,4,2,1,3,0,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,,,,,,,,,,,,,
Gianluca Gaudino,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Lorenzo Tonelli,1,8,1,6,0,10,0,3,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Lorenco Simic,1,2,5,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Everton Luiz Guimaraes Bilher,1,4,3,8,1,5,0,0,6,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Boukary Drame,1,1,3,0,1,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alin Dorinel Tosca,1,30,26,26,3,10,4,3,9,0,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Cheick Tidiane Diabate,0,0,4,4,0,2,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,
Deian Boldor,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andrea Pinamonti,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Simone Romagnoli,1,7,6,4,2,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,,,,,,,,,,,,,
Kwang-Song Han,1,1,1,4,1,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joachim Andersen,1,14,5,9,0,9,6,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Damir Ceter Valencia,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Kevin Bonifazi,0,3,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Niccolo Zanellato,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Alessandro Buongiorno,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Marco Silvestri,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Giovanni Volpicelli,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Leonardo Capezzi,1,5,2,2,1,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Christian Dell'Orco,1,5,7,3,1,5,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Simone Lo Faso,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Matteo Bianchetti,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Antonio Santurro,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Simone Pontisso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Mattia Vitale,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Cheick Keita,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawad El Yamiq,0,7,4,5,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Moussa Diaby,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Bartomiej Dragowski,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andrea Danzi,1,10,4,12,0,3,2,0,6,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jonathan Cristian Silva,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Luca Sparandeo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Elio Capradossi,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Eugenio Lamanna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Siriki Sanogo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Oliva Christian Rutjens,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Carlo Pinsoglio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gianluca Pegolo,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ukasz Skorupski,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Manuel Trigueros Munoz,1,34,48,58,6,17,14,5,26,3,4,5,4,0,5,1,8,0,0,4,0,2,0,0,1,1,7,1,3,,,,,,,,,,,,,
Enes Unal,1,14,11,12,3,8,2,0,9,0,0,1,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,4,5,,,,,,,,,,,,,
Rodrigo Hernandez Cascante,1,84,30,84,8,43,14,10,50,10,2,3,7,0,3,0,4,0,1,2,0,6,1,0,0,1,7,2,2,,,,,,,,,,,,,
Jaume Vicent Costa Jorda,1,30,30,35,7,12,10,3,19,1,0,4,3,0,2,2,1,0,3,0,0,2,0,0,0,1,5,4,1,,,,,,,,,,,,,
Sergio Postigo Redondo,1,38,32,37,3,23,0,6,20,3,0,1,3,0,4,1,0,0,1,0,0,1,0,0,0,0,4,0,2,,,,,,,,,,,,,
Jose Luis Morales Nogales,1,22,50,21,4,10,0,0,16,0,2,3,5,2,0,4,4,0,0,2,0,0,0,2,0,0,3,13,9,,,,,,,,,,,,,
Enis Bardhi,1,26,25,29,8,11,6,2,9,1,4,3,2,0,2,4,2,1,0,0,1,2,0,0,1,0,7,4,1,,,,,,,,,,,,,
Antonio Garcia Aranda,1,12,29,17,2,8,2,3,6,1,0,2,0,0,2,1,1,0,0,0,0,0,0,2,1,0,1,0,1,,,,,,,,,,,,,
Jose Manuel Rodriguez Benito,1,31,17,20,1,13,8,3,10,2,0,2,1,0,2,1,1,0,2,0,0,1,0,0,0,0,2,0,1,,,,,,,,,,,,,
Ivan Lopez Mendoza,1,4,5,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jose Angel Gomez Campana,1,49,48,70,9,24,22,5,26,6,2,10,4,2,3,5,4,0,2,2,0,1,0,0,0,0,3,8,1,,,,,,,,,,,,,
Alexander Alegria Moreno,1,4,5,4,1,5,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
David Remeseiro Salgueiro,1,10,23,17,5,5,0,1,9,2,6,7,2,2,1,4,2,0,0,0,0,0,0,0,0,0,1,5,4,,,,,,,,,,,,,
Victor Ruiz Torre,1,53,28,29,9,26,10,3,13,3,0,2,2,0,4,0,0,0,4,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Nicola Sansone,1,0,10,5,0,2,0,1,2,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,
Alvaro Gonzalez Soberon,1,50,27,44,2,25,14,8,18,5,2,2,2,0,3,1,0,0,3,0,0,0,2,0,0,0,2,1,1,,,,,,,,,,,,,
Antonio Rukavina,1,19,14,13,4,9,0,4,6,2,0,4,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jefferson Andres Lerma Solis,1,49,22,51,8,19,14,5,26,6,0,4,3,0,2,2,2,0,0,0,0,1,1,0,0,0,4,6,4,,,,,,,,,,,,,
Pablo Fornals Malla,1,16,46,40,5,12,4,4,13,5,0,8,8,2,0,7,3,0,2,4,0,2,1,0,0,1,2,6,5,,,,,,,,,,,,,
Carlos Arturo Bacca Ahumada,1,12,28,17,3,10,4,2,10,1,0,3,1,0,1,9,2,1,0,0,0,0,0,0,0,0,1,6,10,,,,,,,,,,,,,
Leonardo Gabriel Suarez,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Cheick Doukoure,0,16,8,21,3,5,4,1,9,1,2,1,1,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,2,,,,,,,,,,,,,
Alfred John Momar N'Diaye,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Andres Eduardo Fernandez Moreno,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Emmanuel Okyere Boateng,0,10,8,11,1,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,2,,,,,,,,,,,,,
Mikel Oyarzabal Ugarte,1,23,31,25,12,14,0,4,14,1,0,2,2,2,3,2,5,0,0,2,0,2,0,0,0,1,2,7,12,,,,,,,,,,,,,
Kevin Manuel Rodrigues,1,24,27,12,7,15,6,2,13,1,0,2,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,3,1,,,,,,,,,,,,,
Asier Illarramendi Andonegi,1,80,48,69,9,33,14,10,45,3,2,6,4,0,6,2,5,1,1,0,0,2,0,4,0,0,4,4,3,,,,,,,,,,,,,
Raul Rodriguez Navas,1,32,11,34,3,24,8,3,6,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,,,,,,,,,,,,,
Geronimo Rulli,1,13,35,19,5,6,6,6,6,1,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Alvaro Odriozola Arzallus,1,32,38,36,13,13,14,8,14,5,2,12,1,4,2,6,4,0,3,0,0,0,1,0,0,0,8,4,1,,,,,,,,,,,,,
Jozabed Sanchez Ruiz,1,24,27,35,5,10,10,1,23,4,0,5,2,0,3,4,2,0,0,2,0,2,1,0,0,0,4,1,2,,,,,,,,,,,,,
Andreu Fontas Prat,1,20,10,14,2,9,4,3,15,3,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Gustavo Daniel Cabral Caceres,1,40,19,26,5,25,6,6,14,2,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Sergio Alvarez Conde,1,5,15,6,5,6,0,0,11,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,
Maximiliano Gomez Gonzalez,1,24,25,23,3,10,0,2,10,0,0,1,3,2,2,3,3,0,0,0,0,1,0,0,0,0,3,3,12,,,,,,,,,,,,,
Pione Sisto Ifolo Emirmija,1,21,27,20,14,9,0,3,16,3,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,5,6,,,,,,,,,,,,,
Jonathan Castro Otto,1,63,47,42,10,37,16,7,16,6,2,7,1,2,1,2,3,0,1,0,0,2,1,0,0,0,5,1,0,,,,,,,,,,,,,
Daniel Wass,1,37,45,46,13,10,8,3,18,8,2,8,3,0,1,5,2,0,1,2,0,0,0,2,0,1,6,5,4,,,,,,,,,,,,,
Iago Aspas Juncal,1,28,56,49,13,9,6,5,17,2,0,6,9,0,2,9,5,2,0,0,0,0,1,0,0,1,5,15,8,,,,,,,,,,,,,
Aritz Elustondo Irribaria,1,22,19,18,1,8,2,6,16,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Sergio Canales Madrazo,1,22,28,29,5,6,8,2,15,4,6,3,3,0,2,4,3,1,0,2,0,1,0,0,0,0,0,6,7,,,,,,,,,,,,,
David Zurutuza Veillet,1,34,34,34,3,20,10,2,23,1,4,1,2,0,2,1,2,0,1,2,0,1,0,0,0,0,1,4,1,,,,,,,,,,,,,
Hugo Mallo Novegil,1,28,66,46,12,19,8,8,18,1,2,4,2,0,1,2,1,0,1,0,0,2,0,2,0,0,2,1,0,,,,,,,,,,,,,
Nemanja Radoja,1,18,16,21,5,9,6,2,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,,,,,,,,,,,,,
Willian Jose da Silva,1,17,32,24,2,16,0,1,15,2,0,2,1,4,2,6,3,2,1,0,0,2,0,0,0,0,5,4,7,,,,,,,,,,,,,
Xabier Prieto Argarate,1,19,32,33,5,10,4,2,10,3,0,10,6,2,5,0,2,1,2,0,0,2,0,2,0,0,5,8,1,,,,,,,,,,,,,
Juan Miguel Jimenez Lopez,1,7,9,12,3,3,2,0,5,0,2,3,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,3,,,,,,,,,,,,,
Carlos Alberto Vela Garrido,0,4,5,2,2,1,0,1,4,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,
Stanislav Lobotka,1,67,40,55,17,36,2,3,28,3,0,4,7,4,5,0,0,0,2,4,0,2,1,0,0,1,5,3,0,,,,,,,,,,,,,
Pedro Pablo Hernandez,1,35,31,32,5,20,4,1,13,1,0,2,4,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Imanol Agirretxe Arruti,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Faycal Fajr,1,29,30,53,7,7,2,4,20,1,0,2,2,0,3,4,2,0,0,0,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,
Gaku Shibasaki,1,8,16,21,2,6,2,0,5,3,2,2,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,2,1,,,,,,,,,,,,,
Juan Torres Ruiz,1,20,24,17,0,11,4,3,5,0,0,0,1,2,3,0,0,0,1,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,,,,
Unai Nunez Gestoso,1,57,42,31,4,18,14,10,21,3,0,5,2,0,3,0,0,0,1,4,1,1,0,0,0,0,2,1,0,,,,,,,,,,,,,
Mikel San Jose Dominguez,1,34,22,40,8,17,8,2,12,7,2,1,4,2,2,2,2,0,0,0,0,2,0,0,0,0,3,1,0,,,,,,,,,,,,,
Inaki Williams Arthuer,1,17,43,27,8,13,4,2,10,4,0,1,3,0,1,4,2,0,1,0,0,0,0,0,2,0,2,10,7,,,,,,,,,,,,,
Iker Muniain Goni,1,9,18,15,7,2,2,1,6,2,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,2,1,,,,,,,,,,,,,
Mikel Balenziaga Oruesagasti,1,29,13,10,6,7,4,3,10,0,0,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,
Oscar de Marcos Arana,1,26,31,16,5,10,2,5,4,1,6,4,1,2,1,4,3,1,0,0,1,1,0,0,1,0,2,4,1,,,,,,,,,,,,,
Benat Etxebarria Urkiaga,1,26,17,25,3,8,14,2,13,5,4,2,2,0,2,1,3,1,1,2,1,1,0,0,0,2,3,1,0,,,,,,,,,,,,,
Djene Dakonam Ortega,1,65,14,37,1,25,4,7,14,2,0,1,0,0,2,0,2,0,1,0,1,0,0,0,0,0,2,0,2,,,,,,,,,,,,,
Francisco Jose Molinero Calderon,1,11,8,8,0,5,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
Markel Susaeta Laskurain,1,18,19,48,5,9,8,0,18,1,4,4,5,0,1,2,1,0,1,0,1,1,0,0,0,1,3,2,1,,,,,,,,,,,,,
Raul Garcia Escudero,1,26,50,20,4,10,4,0,13,2,2,3,1,2,0,1,6,0,0,0,0,1,1,0,0,0,2,4,15,,,,,,,,,,,,,
Damian Nicolas Suarez Suarez,1,46,37,50,10,18,10,5,23,6,6,5,2,2,4,4,4,0,2,0,0,0,0,0,0,0,3,3,0,,,,,,,,,,,,,
Inigo Lekue Martinez,1,32,42,35,4,15,8,1,19,3,2,4,4,2,1,0,1,0,1,0,0,0,1,0,0,1,3,2,1,,,,,,,,,,,,,
Kepa Arrizabalaga Revuelta,1,12,18,19,1,1,2,1,12,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Vicente Guaita Panadero,0,7,17,13,2,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Jorge Molina Vidal,1,26,34,32,7,19,0,2,9,4,2,4,7,0,2,6,1,0,0,0,0,1,1,0,1,0,2,8,5,,,,,,,,,,,,,
Alvaro Jose Jimenez Guerrero,1,2,12,3,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
Amath Diedhiou Ndiaye,1,18,21,34,3,9,2,2,7,0,4,3,4,0,0,1,0,1,1,0,0,2,0,0,0,0,1,4,7,,,,,,,,,,,,,
Markel Bergara Larranaga,1,21,7,17,5,6,4,2,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
Aritz Aduriz Zubeldia,1,9,20,16,3,9,2,3,5,0,2,4,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,2,8,,,,,,,,,,,,,
Sergio Mora Sanchez,1,21,18,16,3,7,6,0,6,0,2,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,,,
Angel Luis Rodriguez Diaz,1,10,23,23,3,6,0,0,8,2,0,2,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,6,13,,,,,,,,,,,,,
Mauro Wilney Arambarri Rosa,1,34,22,15,4,14,8,3,18,2,0,1,2,0,1,1,0,0,2,0,0,0,0,0,0,0,3,0,1,,,,,,,,,,,,,
Marc Muniesa Martinez,1,28,15,18,0,9,10,2,7,0,0,1,1,0,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,,,,,,,,,,,,,
Bernardo Jose Espinosa Zuniga,1,37,30,41,5,13,10,5,20,3,0,0,3,0,0,1,0,1,2,0,1,1,0,0,0,0,1,1,4,,,,,,,,,,,,,
Jorge Resurreccion Merodio,1,47,65,61,18,22,12,3,33,3,2,4,6,0,2,3,3,0,1,2,0,2,0,0,1,0,4,3,2,,,,,,,,,,,,,
Lucas  Hernandez Pi,1,35,24,23,8,19,6,6,17,1,4,2,1,0,6,0,0,0,1,4,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
Alejandro Granell Nogue,1,43,47,63,4,22,6,9,23,2,2,3,6,2,3,2,2,0,2,0,2,2,0,0,0,0,5,10,2,,,,,,,,,,,,,
Pere Pons Riera,1,43,23,34,10,12,14,6,18,4,2,2,5,2,1,2,0,0,0,0,0,3,1,0,0,0,10,0,1,,,,,,,,,,,,,
Pablo Maffeo Becerra,1,33,37,31,5,16,4,0,8,1,2,4,5,0,2,3,2,2,5,0,0,1,0,0,1,2,2,4,2,,,,,,,,,,,,,
Francesc Aday Benitez Caraballo,1,20,34,21,7,8,12,1,13,3,2,5,2,0,1,4,1,1,0,0,0,1,0,0,1,0,4,2,3,,,,,,,,,,,,,
Jose Maria Gimenez de Vargas,1,24,15,17,3,15,6,2,12,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
Yannick Ferreira Carrasco,1,5,6,9,0,6,2,1,6,1,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,3,,,,,,,,,,,,,
Juan Francisco Torres Belen,1,25,8,17,4,11,6,1,5,1,0,2,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
Borja Garcia Freire,1,28,39,41,20,13,20,1,20,10,2,7,1,0,2,1,6,0,0,0,0,0,0,0,1,0,8,11,3,,,,,,,,,,,,,
Stefan Savic,1,26,28,30,4,20,10,0,12,0,0,5,3,0,2,1,0,0,0,2,3,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
Gabriel Fernandez Arenas,1,68,35,56,6,30,12,7,32,3,2,4,3,0,5,1,6,1,2,0,1,3,0,0,0,0,4,3,1,,,,,,,,,,,,,
Jan Oblak,1,4,18,12,3,3,0,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Cristhian Ricardo Stuani Curbelo,0,11,24,14,1,5,0,2,13,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,13,,,,,,,,,,,,,
Pedro Alcala Guirado,1,9,7,13,0,4,2,1,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,,,,,,,,,,,,,
Saul Niguez Esclapez,1,57,38,56,1,33,10,8,34,5,2,1,4,0,1,2,4,0,2,0,0,3,0,0,0,0,1,0,2,,,,,,,,,,,,,
Antoine Griezmann,1,21,34,30,3,10,2,0,14,1,2,2,2,0,2,8,1,0,0,2,0,1,0,0,3,0,1,6,7,,,,,,,,,,,,,
Fernando Jose Torres Sanz,0,5,14,3,0,1,2,1,7,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,2,,,,,,,,,,,,,
